Batch size: 64, Epochs: 20, Learning Rate: 0.002
Epoch 1/20 | Loss: 0.7386 | Accuracy: 62.98%
Epoch 2/20 | Loss: 0.6111 | Accuracy: 69.59%
Epoch 3/20 | Loss: 0.5934 | Accuracy: 67.77%
Epoch 4/20 | Loss: 0.5614 | Accuracy: 70.50%
Epoch 5/20 | Loss: 0.5205 | Accuracy: 70.84%
Epoch 6/20 | Loss: 0.4892 | Accuracy: 67.43%
Epoch 7/20 | Loss: 0.4523 | Accuracy: 59.57%
Epoch 8/20 | Loss: 0.4346 | Accuracy: 65.72%
Epoch 9/20 | Loss: 0.3931 | Accuracy: 65.49%
Epoch 10/20 | Loss: 0.3324 | Accuracy: 72.44%
Epoch 11/20 | Loss: 0.2647 | Accuracy: 72.44%
Epoch 12/20 | Loss: 0.2322 | Accuracy: 73.12%
Epoch 13/20 | Loss: 0.1814 | Accuracy: 71.18%
Epoch 14/20 | Loss: 0.1382 | Accuracy: 69.36%
Epoch 15/20 | Loss: 0.1224 | Accuracy: 68.45%
Epoch 16/20 | Loss: 0.0954 | Accuracy: 68.22%
Epoch 17/20 | Loss: 0.0736 | Accuracy: 72.44%
Epoch 18/20 | Loss: 0.0418 | Accuracy: 69.36%
Epoch 19/20 | Loss: 0.0807 | Accuracy: 72.10%
Epoch 20/20 | Loss: 0.0746 | Accuracy: 69.36%
